,DistanceToPrev,LineCode,SeqNum,StationCode,StationName,Address.City,Address.State,Address.Street,Address.Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
123,3750,SV,23,D08,Stadium-Armory,Washington,DC,192 19th St. SE,20003,D08,38.88594,BL,OR,SV,,-76.977485,Stadium-Armory,,
124,12162,SV,24,G01,Benning Road,Washington,DC,4500 Benning Road,20019,G01,38.890488,BL,SV,,,-76.938291,Benning Road,,
125,7779,SV,25,G02,Capitol Heights,Capitol Heights,MD,133 Central Avenue,20743,G02,38.889757,BL,SV,,,-76.913382,Capitol Heights,,
126,5215,SV,26,G03,Addison Road-Seat Pleasant,Capitol Heights,MD,100 Addison Road S.,20743,G03,38.886713,BL,SV,,,-76.893592,Addison Road-Seat Pleasant,,
127,7960,SV,27,G04,Morgan Boulevard,Landover,MD,300 Garrett Morgan Blvd.,20785,G04,38.8913,BL,SV,,,-76.8682,Morgan Boulevard,,
128,7256,SV,28,G05,Largo Town Center,Largo,MD,Largo Town Center 9000 Lottsford Road,20774,G05,38.9008,BL,SV,,,-76.8449,Largo Town Center,,
129,0,YL,1,C15,Huntington,Huntington,VA,2501 Huntington Ave,22303,C15,38.793841,YL,,,,-77.075301,Huntington,,
130,2770,YL,2,C14,Eisenhower Avenue,Alexandria,VA,2400 Eisenhower Avenue,22314,C14,38.800313,YL,,,,-77.071173,Eisenhower Avenue,,
131,3734,YL,3,C13,King St-Old Town,Alexandria,VA,1900 King Street,22301,C13,38.806474,BL,YL,,,-77.061115,King St-Old Town,,
132,3453,YL,4,C12,Braddock Road,Alexandria,VA,700 N. West St.,22301,C12,38.814009,BL,YL,,,-77.053763,Braddock Road,,
133,16108,YL,5,C10,Ronald Reagan Washington National Airport,Arlington,VA,2400 S. Smith Blvd.,22202,C10,38.852985,BL,YL,,,-77.043805,Ronald Reagan Washington National Airport,,
134,2939,YL,6,C09,Crystal City,Arlington,VA,1750 South Clark St.,22202,C09,38.85779,BL,YL,,,-77.050589,Crystal City,,
135,4068,YL,7,C08,Pentagon City,Arlington,VA,1250 South Hayes St.,22202,C08,38.863045,BL,YL,,,-77.059507,Pentagon City,,
136,3216,YL,8,C07,Pentagon,Arlington,VA,2 South Rotary Road,22202,C07,38.869349,BL,YL,,,-77.054013,Pentagon,,
137,12524,YL,9,F03,L'Enfant Plaza,Washington,DC,600 Maryland Avenue SW,20024,F03,38.884775,GR,YL,,,-77.021964,L'Enfant Plaza,D03,
138,2950,YL,10,F02,Archives-Navy Memorial-Penn Quarter,Washington,DC,701 Pennsylvania Avenue NW,20004,F02,38.893893,GR,YL,,,-77.021902,Archives-Navy Memorial-Penn Quarter,,
139,1879,YL,11,F01,Gallery Pl-Chinatown,Washington,DC,630 H St. NW,20001,F01,38.89834,GR,YL,,,-77.021851,Gallery Pl-Chinatown,B01,
140,2985,YL,12,E01,Mt Vernon Sq 7th St-Convention Center,Washington,DC,700 M St. NW,20001,E01,38.905604,GR,YL,,,-77.022256,Mt Vernon Sq 7th St-Convention Center,,
141,2527,YL,13,E02,Shaw-Howard U,Washington,DC,1701 8th St. NW,20001,E02,38.912919,GR,YL,,,-77.022194,Shaw-Howard U,,
142,2555,YL,14,E03,U Street/African-Amer Civil War Memorial/Cardozo,Washington,DC,1240 U Street NW,20009,E03,38.916489,GR,YL,,,-77.028938,U Street/African-Amer Civil War Memorial/Cardozo,,
143,4715,YL,15,E04,Columbia Heights,Washington,DC,3030 14th St. NW,20009,E04,38.928672,GR,YL,,,-77.032775,Columbia Heights,,
144,4717,YL,16,E05,Georgia Ave-Petworth,Washington,DC,3700 Georgia Avenue NW,20010,E05,38.936077,GR,YL,,,-77.024728,Georgia Ave-Petworth,,
145,8348,YL,17,E06,Fort Totten,Washington,DC,550 Galloway Street NE,20011,E06,38.951777,GR,YL,,,-77.002174,Fort Totten,B06,
