,Lat,Lon,Name,Routes,StopID
6894,39.006095,-76.984138,SOUTHAMPTON DR + BEACON RD,[u'K6'],2000258
6895,39.006191,-76.984268,SOUTHAMPTON DR + BEACON RD,[u'K6'],2000259
6896,39.006267,-76.997733,UNIVERSITY BLVD E + E WAYNE AVE,"[u'C2', u'C4']",2000260
6897,39.006351,-77.111571,OLD GEORGETOWN RD + ALTA VISTA RD,"[u'J2', u'J3']",2000261
6898,39.006405,-77.190758,RIVER RD + CONGRESSIONAL PKWY,[u'T2'],2000262
6899,39.006504,-77.190917,RIVER RD + CONGRESSIONAL PKWY,[u'T2'],2000263
6900,39.00658,-76.997649,UNIVERSITY BLVD + BUCKINGHAM DR,"[u'C2', u'C2v2', u'C2v3', u'C4', u'C4c', u'C4cv1', u'C4v3']",2000264
6901,39.006672,-76.923409,RHODE ISLAND AVE + FOX ST,[u'83'],3002381
6902,39.006672,-77.112091,OLD GEORGETOWN RD + ALTA VISTA RD,"[u'J2', u'J3']",2000265
6903,39.00669,-76.929764,BALTIMORE AVE + ERIE ST,"[u'86', u'86v2']",3002382
6904,39.006698,-76.775695,11TH ST + MYRTLE AVE,[u'B27'],3002383
6905,39.006717,-76.775322,11TH ST + MYRTLE AVE,[u'B27'],3002384
6906,39.006802,-76.929848,BALTIMORE AVE + ERIE ST,[u'86'],3002385
6907,39.006889,-76.980896,NORTHAMPTON DR + AVENEL RD,[u'K6'],2000266
6908,39.00692,-77.039283,GEORGIA AVE + LUZERNE AVE,"[u'J5', u'J5c', u'Q1', u'Q2', u'Q2cv1', u'Q4', u'Y2', u'Y7', u'Y8']",2000267
